Name,Level,Type,Playstyle,Statistics,Obtained Via,Also Obtained Via,Series,Sub Trait,Base Count,Is Renewable,Is Ingredient,Notes,,Excluded Name,Level,Type,Reason
Edge o' All,5,All-Purpose,All-Purpose,ATK +4 DEF +2,Quest,,Edge,,2,Not Renewable,,Weird case since it's so weak. Two exist; one for each starter quest.,,ALL DLC WEAPONS,"A, 68+",,DLC Exclusive
Bronze Edge,9,All-Purpose,All-Purpose,ATK +7 DEF +4,Shop,Quest,Edge,,1,Renewable,,,,,,,
Core Drill,10,All-Purpose,All-Purpose,MAXHP +15 ATK +7 FOC +2 Lucky Lucky +20%,Trade,,Drill,,1,Not Renewable,Base Trade,,,,,,
Iron Edge,18,All-Purpose,All-Purpose,ATK +16 DEF +10,Shop,,Edge,,1,Renewable,,,,,,,
Steel Edge,27,All-Purpose,All-Purpose,ATK +29 DEF +17,Shop,,Edge,,1,Renewable,,,,,,,
Giga Spiral Drill,30,All-Purpose,All-Purpose,MAXHP +80 ATK +34 FOC +14 Lucky Lucky +30%,Trade,,Drill,,1,Not Renewable,Base Trade,,,Broken Gauntlet,1,Broken,Broken Series
Silver Edge,34,All-Purpose,All-Purpose,ATK +42 DEF +25,Shop,,Edge,,1,Renewable,,,,Broken Shield,1,Broken,Broken Series
Titan Edge,42,All-Purpose,All-Purpose,ATK +59 DEF +34,Shop,,Edge,,1,Renewable,,,,Broken Sword,1,Broken,Broken Series
Cobalt Edge,50,All-Purpose,All-Purpose,ATK +78 DEF +46,Shop,,Edge,,1,Renewable,,,,Broken Deck,1,Broken,Broken Series
Galaxy Spiral Drill,51,All-Purpose,All-Purpose,MAXHP +170 ATK +73 FOC +35 Lucky Lucky +40%,Trade,,Drill,,1,Not Renewable,Base Trade,,,Broken Chakrams,1,Broken,Broken Series
Laser Edge,59,All-Purpose,All-Purpose,ATK +102 DEF +61,Shop,,Edge,,1,Renewable,,,,Rookieblade,1,Starter,Not in logic
Infinity Spiral Drill,65,All-Purpose,All-Purpose,MAXHP +245 ATK +113 FOC +55 Lucky Lucky +60% Zero XP ,Trade,,Drill,Zero XP,1,Not Renewable,DLC Trade,,,Excalibro,47,None,Needs a hard nerf
Daikon,13,MAXHP,Defensive,MAXHP +69 ATK +11 HP Regen +15%,Trade,Chest,MAXHP,,1,Renewable,,,,,,,
