Name,Level,Type,Playstyle,Statistics,Obtained Via,Also Obtained Via,Series,Sub Trait,Base Count,Is Renewable,Is Ingredient,Notes,,Excluded Name,Level,Type,Reason
Second Hide,5,All-Purpose,All-Purpose,MAXHP +50 DEF +2,Quest,,Mail,,1,Not Renewable,,,,Rookiebelt,1,All Purpose,Out of logic
Bronze Mail,9,All-Purpose,All-Purpose,MAXHP +85 DEF +3,Shop,,Mail,,1,Renewable,,,,,,,
Iron Mail,18,All-Purpose,All-Purpose,MAXHP +190 DEF +7,Shop,,Mail,,1,Renewable,,,,,,,
Bronze Chest Plate,22,All-Purpose,All-Purpose,MAXHP +177 DEF +13 FOC +5 Trainer -20% Lucky Lucky +10%,Chest,,Chest Plate,,1,Not Renewable,Base Trade,,,,,,
Steel Mail,27,All-Purpose,All-Purpose,MAXHP +340 DEF +13,Shop,,Mail,,1,Renewable,Base Trade,,,,,,
Silver Chest Plate,33,All-Purpose,All-Purpose,"MAXHP +313 DEF +24 FOC +10 Heat Resist +10% Cold Resist +10%
Shock Resist +10% Wave Resist +10% Trainer -25% Lucky Lucky +15%",Chest,,Chest Plate,,1,Not Renewable,Base Trade,,,,,,
Silver Mail,34,All-Purpose,All-Purpose,MAXHP +480 DEF +19,Shop,,Mail,,1,Renewable,,,,,,,
Titan Mail,42,All-Purpose,All-Purpose,MAXHP +695 DEF +25,Shop,,Mail,,1,Renewable,,,,,,,
Cobalt Mail,50,All-Purpose,All-Purpose,MAXHP +935 DEF +32,Shop,,Mail,,1,Renewable,,,,,,,
Golden Chest Plate,54,All-Purpose,All-Purpose,MAXHP +676 DEF +53 FOC +21 Trainer -30% Lucky Lucky +20%,Chest,,Chest Plate,,1,Not Renewable,Base Trade,,,,,,
Laser Mail,59,All-Purpose,All-Purpose,MAXHP +1223 DEF +42,Shop,,Mail,,1,Renewable,,,,,,,
Plate of Chests,67,All-Purpose,All-Purpose,"MAXHP +999 DEF +77 FOC +33 Heat Resist +10% Cold Resist +10%
Shock Resist +10% Wave Resist +10% Trainer -50% Lucky Lucky +30%",Trade,,Chest Plate,,1,Not Renewable,DLC Trade,,,,,,
Scrappy Plate,11,Defender,Defensive,MAXHP +55 DEF +11 Pin Body +30% Flash Step -25% Iron Stance +2%,Trade,,Pin Plate,,1,Renewable,,,,,,,
Spiky Jacket,17,Defender,Defensive,MAXHP +96 ATK +2 DEF +13 Pin Body +50%,Trade,,Pin Cover,,1,Renewable,,Available from 2 trades,,,,,
Hardrock Plate,19,Defender,Defensive,MAXHP +111 DEF +22 Pin Body +30% Flash Step -25% Iron Stance +2%,Trade,,Pin Plate,,1,Renewable,,,,,,,
Magic Robe,30,Status,Defensive,"MAXHP +415 DEF +8 FOC +4 Heat Resist +10% Cold Resist +10%
Shock Resist +10% Wave Resist +10% Balance +10% Status Mend +15%",Trade,,Light Fit,,1,Renewable,,,,,,,
Crystal Plate,31,Defender,Defensive,MAXHP +222 DEF +36 Pin Body +50% Flash Step -25% Iron Stance +2%,Trade,,Pin Plate,,1,Renewable,,,,,,,
Ramming Shell,38,Defender,Defensive,MAXHP +478 DEF +31 Pin Body +50% Solid Guard +10%,Trade,,Pin Cover,,1,Renewable,,Available from 3 trades,,,,,
Vermillion Mantle,41,Status,Defensive,"MAXHP +666 DEF +9 FOC +15 Heat Resist +10% Cold Resist +10%
Shock Resist +10% Wave Resist +10% Flash Step +15% Status Rush +15%",Trade,Chest,Light Fit,,1,Renewable,,,Outlier,,,,
Survival Plate,46,Defender,Defensive,"MAXHP +404 DEF +68 Heat Resist +5% Cold Resist +5% Shock Resist +5%
Wave Resist +5% Pin Body +50% Flash Step -25% Iron Stance +2%",Trade,,Pin Plate,,1,Renewable,,,,,,,
Timeworn Belt,49,Status,Defensive,"MAXHP +666 DEF +30 FOC +24 Heat Resist +10% Cold Resist +10%
Shock Resist +10% Wave Resist +10% Avenger +10% Balance +20%",Chest,,Light Fit,,1,Not Renewable,DLC Trade,,,,,,
Plated Plate,56,Defender,Defensive,MAXHP +558 DEF +95 Pin Body +50% Flash Step -25% Iron Stance +3%,Trade,,Pin Plate,,1,Renewable,,,,,,,
Reactive Plate,64,Defender,Defensive,"MAXHP +696 DEF +117 Heat Resist +5% Cold Resist +5% Shock Resist +5%
Wave Resist +5% Pin Body +50% Flash Step -20% Iron Stance +3%",Trade,,Pin Plate,,1,Renewable,DLC Trade,,,,,,
Leaf Cape,15,MAXHP,Mixed,MAXHP +171 DEF +4 Heat Resist -25% HP Regen +35%,Trade,,Natural,,1,Renewable,,,,,,,
Bubblebelt,21,MAXHP,Mixed,MAXHP +246 DEF +6 Heat Resist +10% HP Regen +35%,Trade,,Natural,,1,Renewable,,,,,,,
Tattered Satchel,28,Buff,Mixed,MAXHP +250 ATK +7 DEF +11 FOC +7 Appetite ,Trade,Chest,Food Pack,,1,Renewable,Base Trade,,,,,,
Petal Cloak,37,MAXHP,Mixed,"MAXHP +636 DEF +13 Heat Resist -25% Wave Resist +10%
HP Regen +35%",Trade,,Natural,Wave Resist,1,Renewable,,Available from 3 trades,,,,,
Prism Pouch,39,Buff,Mixed,MAXHP +420 ATK +12 DEF +18 FOC +12 Item Booster +10% Appetite ,Trade,,Food Pack,,1,Renewable,Base Trade,,,,,,
Rootweave,47,MAXHP,Mixed,MAXHP +876 DEF +24 HP Regen +25% Status Mend +35%,Trade,,Natural,Status Mend,1,Renewable,,,,,,,
Bluefiber Robe,51,MAXHP,Mixed,MAXHP +1069 DEF +22 Heat Resist -25% HP Regen +25%,Chest,,Natural,,1,Not Renewable,Base Trade,,,,,,
Infinite Bag,52,Buff,Mixed,MAXHP +666 ATK +19 DEF +29 FOC +19 Item Booster +15% Appetite ,Trade,,Food Pack,,1,Renewable,Base Trade,,,,,,
Pioneer Vest,63,MAXHP,Mixed,"MAXHP +1515 DEF +31 Heat Resist +10% Cold Resist +10%
Shock Resist +10% Wave Resist +10% HP Regen +25% Status Mend +35%",Trade,,Natural,,1,Renewable,DLC Trade,,,,,,
Infinity+1 Bag,66,Buff,Mixed,MAXHP +1060 ATK +30 DEF +46 FOC +30 Item Booster +25% Appetite ,Trade,,Food Pack,,1,Not Renewable,,,,,,,
Lifefiber Uniform,68,MAXHP,Mixed,MAXHP +1717 DEF +35 Berserker +30% HP Regen +35% SP Regen +15%,Trade,,Natural,,1,Not Renewable,,You can only get 1 max,,,,,
Bovine Armor,11,All Purpose,Offensive,MAXHP +99 ATK +3 DEF +2 Berserker +15%,Trade,,,,1,Renewable,,,,,,,
Assault Vest,13,Assault,Offensive,MAXHP +56 ATK +5 DEF +7 Scope -25% Assault +25%,Trade,Chest,Assault,,1,Renewable,,,,,,,
Dessert Vest,24,Shooter,Offensive,"MAXHP +195 DEF +15 FOC +4 Heat Resist +10% Shooter +10%
Flash Step +10%",Trade,,,,1,Renewable,,Available from 2 trades,,,,,
Assassin Garb,29,Brawler,Offensive,MAXHP +186 DEF +14 FOC +18 Brawler +10% Bullseye +25%,Trade,,,,1,Renewable,,,,,,,
Loose Trenchcoat,45,Crit,Offensive,MAXHP +585 DEF +21 FOC +25 Bullseye +25%,Trade,,Sneaky,,1,Renewable,,,,,,,
Shadowy Cloak,55,Crit,Offensive,"MAXHP +813 DEF +29 FOC +35 Shock Resist +10% Bullseye +25%
Flash Step +10%",Trade,,Sneaky,,1,Renewable,,,,,,,
Centaur Vest,61,Shooter,Offensive,MAXHP +989 DEF +33 FOC +42 Steady Shot +50% Legwork +20%,Trade,,,,1,Renewable,DLC Trade,,,,,,
Zealous Lamellar,62,Brawler,Offensive,"MAXHP +565 ATK +50 DEF +70 Brawler +10% Flash Step +10%
Balance +20%",Trade,,,,1,Renewable,DLC Trade,,,,,,
Assault Harness,65,Assault,Offensive,MAXHP +666 ATK +30 DEF +95 Scope -25% Assault +30% Iron Stance +5%,Shop,,Assault,,1,Not Renewable,DLC Trade,Arena Only,,,,,
Killing Dress,65,Crit,Offensive,MAXHP +1034 DEF +35 FOC +53 Bullseye +25% Bouncer +25%,Shop,,Sneaky,,1,Not Renewable,,Arena Only,,,,,
